Unnamed: 0_x,obsid,Heh,logg,teff,lamo,Ra,dec,snu
107,685808139,-2.763953447,5.600396156,28111.81836,LAMOST J030945.08+534453.7,47.437863,53.748261,5.77
108,686613162,-2.249949932,5.517697811,26436.91406,LAMOST J065734.81+243058.1,104.395083,24.516153,14.41
109,687904034,-2.54354167,5.83950901,27152.58984,LAMOST J034352.89+520355.5,55.970399,52.065439,11.59
110,696713019,-1.455486536,5.333336353,30754.39844,LAMOST J061956.86+234417.3,94.98682,23.73928,72.8
111,710212171,-2.700854063,5.500607967,26658.64844,LAMOST J025230.22+424318.1,43.124405,42.721198,32.79
112,731206238,-2.326947212,5.371371746,29460.84961,LAMOST J095915.36+140646.9,149.814003,14.113034,9.53
113,731607028,-1.940735459,5.062399864,25876.76172,LAMOST J063341.04+151817.1,98.421013,15.304764,54.28
114,732004010,-1.705548763,5.239331245,32732.46289,LAMOST J055733.77+275358.5,89.389896,27.900648,8.86
115,732005019,-2.297194958,5.255846024,26549.24219,LAMOST J055913.33+260927.2,89.805577,26.157566,76.87
116,732301158,-3.071179152,5.340704918,31803.27539,LAMOST J124244.78+441002.4,190.686593,44.167348,18.22
117,732803087,-2.573858976,5.499114037,39904.64063,LAMOST J161703.46+132607.3,244.264452,13.435385,15.16
118,733513066,-2.107432365,6.200930595,22763.1582,LAMOST J063718.17+203308.4,99.325724,20.552357,81.17
119,734211192,-2.747373581,5.548979282,36224.59375,LAMOST J093943.82+331647.4,144.932621,33.279844,20.27
120,734701157,-2.84885335,5.352613926,26010.9082,LAMOST J132857.61+091800.7,202.240081,9.300205,13.49
121,740802003,-3.149775505,5.535011768,26111.1875,LAMOST J135320.02+191634.5,208.333424,19.276275,23.62
122,741002146,-2.784034252,5.810001373,26496.10156,LAMOST J175913.02+221125.8,269.803356,22.189514,46.55
123,742213240,-2.53300333,5.485831261,28573.76563,LAMOST J173127.57+173314.0,262.8649,17.553897,8.7
124,742214206,-1.799786568,5.414112568,34452.91406,LAMOST J171803.93+172909.0,259.516392,17.485834,5.32
125,742309080,-2.645033836,5.574599266,35476.05078,LAMOST J145313.62+141323.9,223.30675,14.223309,5.49
